date,close,prod_cost_usd,historical_multiplier,action,executed_usdt,executed_btc,cash_usdt,btc_amount,portfolio_value_usdt,btc_exposure_pct,raw_target_exposure_pct,smoothed_target_exposure_pct,core_exposure_pct,total_pnl_usdt,total_pnl_pct,drawdown_pct,drawdown_guard_active,regime,rule_profile,underpriced_mode,deep_underpriced_mode,extreme_underpriced_mode,no_sell_zone,weighted_price_p50,underpriced_pct,decision_edge_pct,memory_confidence_pct
2011-02-01,0.7077,0.17097522,4.1391963,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-02,0.716,0.18465324,3.87753828,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-03,0.6964,0.18465324,3.77139338,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-04,0.811,0.18465324,4.39201613,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-05,0.92,0.18465324,4.98231176,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-06,0.8997,0.19947109,4.51042804,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-07,0.89,0.19947109,4.46179944,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-08,0.918,0.19947109,4.60217066,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-09,1.09,0.19947109,5.464451,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-10,0.9803,0.25443369,3.85287021,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-11,1.07,0.25443369,4.20541785,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-12,1.08,0.25443369,4.24472082,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-13,1.05,0.25443369,4.12681191,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-14,1.07,0.25039506,4.27324717,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-15,1.05,0.25039506,4.1933734,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-16,1.045,0.25039506,4.17340495,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-17,1.04,0.25039506,4.15343651,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-18,0.8989,0.40779693,2.20428338,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-19,0.949,0.40779693,2.32713864,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-20,0.865,0.40779693,2.12115377,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-21,0.8345,0.40779693,2.04636164,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-22,0.8702,0.40024514,2.17416758,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-23,0.9,0.40024514,2.24862195,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-24,0.9974,0.40024514,2.49197281,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-25,0.9112,0.40024514,2.2766048,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-26,0.958,0.47387514,2.02162958,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-27,0.89,0.47387514,1.87813187,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
2011-02-28,0.8702,0.47387514,1.83634871,OBSERVE,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,bull_late,observe,False,False,False,False,,,,
